name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2024-04-01,11.8,8.9,10.3,11.8,6.9,9.6,2.8,60.6,0.028,100,4.17,rain,0,0,46.4,20.1,38.9,1014.7,73.2,16,54.6,4.6,2,10,2024-04-01T06:38:38,2024-04-01T19:21:30,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-02,9.4,6.7,8,9.4,2.9,5.8,5.9,86.8,2.404,100,58.33,rain,0,0,40.7,26.7,46.5,1013.6,81.7,11.8,36.5,3.2,2,10,2024-04-02T06:37:00,2024-04-02T19:22:32,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-03,6.7,5.6,6,3.7,-0.1,1.4,4.6,90.6,2.15,100,87.5,rain,0,0,64.7,43.7,47.2,1004.3,100,8.1,19.9,1.8,1,10,2024-04-03T06:35:22,2024-04-03T19:23:35,0.82,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-04,10.5,3.8,6.6,10.5,-0.9,4.5,1.9,73.6,0.37,100,29.17,rain,0,0,64.2,40.8,25.4,995.7,96.2,14.5,157,13.7,9,10,2024-04-04T06:33:45,2024-04-04T19:24:38,0.86,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-05,9.9,4.3,6.9,8.9,1.3,5.1,-0.9,59,0,0,0,,0,0,53.6,15,284.3,1003.8,79.5,15.9,138.4,12.1,7,10,2024-04-05T06:32:08,2024-04-05T19:25:41,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-06,12.1,5.7,8.4,12.1,3.5,7.5,-1,52.8,0,0,0,,0,0,51.7,13.3,325.2,1009.5,86.6,15.9,124.6,10.7,5,10,2024-04-06T06:30:31,2024-04-06T19:26:44,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-07,15.6,6.2,9.8,15.6,3.8,9.2,-0.1,51.6,0,0,0,,0,0,45.3,22.2,24.5,1017.6,48.9,16,223.1,19.5,10,10,2024-04-07T06:28:55,2024-04-07T19:27:47,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-08,18.8,6.7,11.7,18.8,4.1,11.1,-0.3,47.2,0,0,0,,0,0,20.5,14,262.1,1021,14.6,16,222.3,19.1,10,10,2024-04-08T06:27:20,2024-04-08T19:28:49,0,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-09,24.4,11.2,16.2,24.4,11.2,16.2,4,45.9,0,0,0,,0,0,73.8,18.5,214.7,1017.3,13,16,260.7,22.6,9,10,2024-04-09T06:25:45,2024-04-09T19:29:52,0.03,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-10,17.8,10.7,13.3,17.8,10.7,13.3,7.6,69,0,0,0,,0,0,42.5,23.7,53.2,1017,45.2,15.7,181.8,15.7,7,10,2024-04-10T06:24:10,2024-04-10T19:30:55,0.06,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,72055399999,KLGA,KJRB,F8726,F1417,KNYC,72503014732"
New York,2024-04-11,16.5,10,12.5,16.5,10,12.5,10.4,86.8,0.312,100,33.33,rain,0,0,40.7,23.3,66.4,1013.7,96.4,14.1,98.7,8.5,5,10,2024-04-11T06:22:36,2024-04-11T19:31:58,0.1,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-12,16.7,12.9,14.2,16.7,12.9,14.2,10.3,79.7,0.463,100,37.5,rain,0,0,57.7,37,222.1,998,86.6,11.9,101.4,8.7,6,10,2024-04-12T06:21:02,2024-04-12T19:33:01,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-13,12.9,9.4,11,12.9,6,10.5,2.5,56,0.014,100,4.17,rain,0,0,60.2,38.2,270.5,1004,71.5,16,88.5,7.9,4,10,2024-04-13T06:19:29,2024-04-13T19:34:04,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-14,21.7,8.9,14.8,21.7,7.2,14.6,3.2,47.2,0.145,100,12.5,rain,0,0,64.4,24.9,254.3,1010.5,19.4,16,235.9,20.3,8,10,2024-04-14T06:17:57,2024-04-14T19:35:07,0.19,Rain,Clear conditions throughout the day with rain.,rain,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
New York,2024-04-15,25.7,14.5,19.5,25.7,14.5,19.5,8.6,54.5,0,0,0,,0,0,63,24.2,285.4,1009.2,17.4,16,281.8,24.3,10,10,2024-04-15T06:16:26,2024-04-15T19:36:09,0.25,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F1417,KNYC,72503014732"
